CONFIG_ID,random_parameter_1,random_parameter_2,random_parameter_3
0,0.6,0,500
1,0.9550917677144807,2,88
2,1.0450563519824025,-8,942
3,0.14831490582930598,-10,246
4,0.6164662749630218,6,89
5,0.731012324181015,-4,368
6,0.15501738789068678,-2,948
7,0.3288399772610404,-4,95
8,0.5609008569423773,-9,647
9,0.43333131018297244,-3,921
10,0.5359632059900307,-4,661
11,0.288132124715725,6,933
12,0.1437877012943474,-10,890
13,0.21011819336971585,8,270
14,1.0923662360839674,1,777
15,0.7545134534179905,-4,86
16,1.0657158505126338,-3,577
17,0.8949561499020612,-1,743
18,0.9965277972905849,-10,510
19,0.623762750782708,6,852
20,0.8187949511034633,-4,390
21,0.720861734326737,-8,505
22,0.6105990922281246,-4,330
23,0.4854009906129395,-9,312
24,0.8002262414263012,7,745
25,0.38118175466812887,-10,256
26,0.5458534608638986,0,776
27,0.14842354171126507,-8,971
28,0.9208614737472457,-2,257
29,1.0254711621242778,5,531
30,0.6790626930542546,9,400
31,0.17445047853589793,-3,307
32,0.7070350559251899,-6,209
33,0.30157599257474954,5,841
34,0.2975669341294881,-7,452
35,0.5887226394357647,-6,641
36,0.41149458574407116,-7,951
37,0.6436162971827055,-1,850
38,0.3477590599822161,-5,919
39,0.6286781618791869,1,641
40,0.2912578783024047,3,842
41,0.8300377596132251,7,267
42,0.4333356275989383,4,621
43,0.5502859124603255,9,216
44,0.5796052999821666,8,958
45,1.0374548471037544,-2,825
46,0.7894662391394862,-7,696
47,1.0650656706361723,-5,401
48,0.9103059483370876,-1,965
49,0.7829243982026804,1,62
50,0.8804545635689017,-1,249
51,0.8869847002832758,8,296
52,0.9027964227379467,7,148
53,0.8846599803715904,3,469
54,1.0622256242478663,-6,465
55,0.45932976102220413,-5,480
56,0.29922245873247766,-1,748
57,0.6778736233232155,-7,545
58,0.6773332113259031,0,355
59,0.8353425386773068,2,579
60,0.7739330939311899,-7,321
61,0.15901483469236857,8,152
62,0.6330040913616998,9,12
63,0.5384233665423666,0,274
64,1.0875784342729193,-3,798
65,0.8467263040586269,-10,604
66,1.0068125098260223,-4,91
67,0.3123116906861936,3,695
68,0.6738596770407813,-5,773
69,0.489599396307814,0,360
70,0.7390350031135442,-5,99
71,0.8144827743591754,-1,126
72,0.3499398439700937,-6,681
73,0.9595634063710606,2,883
74,0.15109459466752465,-4,274
75,0.11896700616679981,-3,280
76,0.27228730131795686,-4,543
77,0.38510687247986997,-7,55
78,0.5259759046709327,8,115
79,0.5619769265539883,7,455
80,0.8708934668337204,-10,743
81,0.5217622626155204,-9,143
82,1.0236342709832889,-8,587
83,0.3993295881362162,1,767
84,0.9545104987892821,-8,805
85,0.6074518750198851,0,8
86,0.4516297607517116,-5,30
87,0.2927990600928376,-8,177
88,0.2878271177223046,9,438
89,1.081518497108424,1,170
90,0.5187028748250669,9,659
91,0.8112508963779977,-1,436
92,0.9597789895430764,-9,96
93,1.0609576172323223,-10,375
94,0.9336534207672156,3,325
95,0.4084563980786492,-6,387
96,0.5466082304701603,-9,784
97,0.2817492191294749,5,351
98,0.2633038529794137,-2,228
99,0.6802423111316899,-2,509
100,0.4749855330917335,5,45
101,0.7667100526707392,7,231
102,0.662797014886157,-9,523
103,0.7431757671636372,-1,112
104,1.069561881625746,1,824
105,0.23081076038932194,9,294
106,0.7981291978653129,0,504
107,0.725585520728611,3,713
108,0.49620633014931914,6,882
109,0.19912814827004402,-5,496
110,0.5267707464066371,-3,67
111,0.32007461575713314,-8,319
112,0.37535932933878635,-3,466
113,1.0365306749589893,-8,614
114,0.6982269268653589,-3,710
115,0.9658631211233896,-8,354
116,1.0179547374042974,-4,206
117,1.0017627506417195,-1,857
118,0.4299805106295058,6,253
119,0.647080540651363,9,605
120,0.21089811238157444,-2,830
121,0.49244323270487966,9,302
122,0.6983965557527427,9,194
123,0.1952972583570405,8,309
124,1.0823322619206661,-9,616
125,0.5494271616882884,-1,428
126,0.9454319693672609,7,549
127,0.8227934885145516,-8,489
128,1.0420615559131228,-7,338
129,0.30540979887857567,-6,204
130,0.6503417303931853,0,640
131,1.0901092093534641,-6,617
132,0.8357551955970683,-8,775
133,0.9772824145470116,2,374
134,0.5994173187816774,-8,128
135,0.43511738417310675,2,373
136,0.8089788576419119,-5,753
137,0.9785643432836267,7,455
138,0.20407699840535878,9,394
139,1.091405475796182,0,583
140,0.845323656546615,-4,780
141,0.7188818256463703,-10,292
142,0.265305209202363,-10,266
143,1.0197349822319262,-8,482
144,1.061287027236402,-3,701
145,1.0810268128047065,-8,582
146,0.7280185328488995,-1,396
147,0.49278555598294704,1,398
148,0.12197949203834671,7,612
149,0.6205400398591874,-6,286
150,0.8365370100575148,0,484
151,0.6857238020097967,-4,600
152,0.6437759060531223,-6,248
153,0.31772142080257304,7,402
154,0.9503849284032457,-5,2
155,0.6091683586416048,-8,33
156,0.8981297846973592,-3,593
157,0.11505076090160296,8,733
158,0.4894739196582788,7,325
159,0.8008704238420286,-1,396
160,0.9868730046799605,-10,105
161,1.0187647442654688,9,432
162,0.11958901900528243,2,226
163,0.6384605705490904,5,172
164,0.30910810874091665,3,993
165,0.21245838799497166,-10,248
166,0.48845903328365214,2,822
167,0.39664683553639524,1,451
168,0.9722331431531636,-5,11
169,0.8780337393986521,7,702
170,0.36381923334490196,2,218
171,0.22319237779251902,-10,206
172,0.1407737733309086,8,395
173,0.46693277601177474,6,268
174,0.68318282600917,-1,76
175,0.2583410423122473,-1,186
176,0.7241724101090229,3,530
177,0.7440020051909603,-1,219
178,0.9563213872075345,3,925
179,0.4644989800037097,4,666
180,0.2953383228714038,-3,997
181,0.1302625935444928,-9,370
182,0.8018817072959377,5,596
183,0.9995537785123595,-5,685
184,0.7460265198908639,-8,606
185,0.8507613771140368,-1,928
186,0.2184288865816724,-4,919
187,0.5220681908130234,-8,687
188,0.2691235200631227,2,836
189,0.8023348553301681,1,662
190,0.8255579299488424,-2,134
191,0.8992524060735599,-1,424
192,0.6165598276425985,8,87
193,0.8429992177124539,-5,192
194,1.0445906387319657,5,2
195,1.0474019873942648,-8,225
196,0.37187110688046254,-5,643
197,1.0701102235920947,6,848
198,0.8521615712435303,7,364
199,0.13982581967447164,0,896
200,0.9436961942142568,-1,167
201,0.3049229613500123,-6,78
202,1.0844251275761498,-5,615
203,0.6529207164792956,-6,885
204,0.9924483658707673,0,889
205,0.5318940001535765,2,589
206,0.9419436293862642,-3,291
207,0.5967054838710134,-4,672
208,0.6264821030351796,-8,679
209,0.6656550741696153,-5,203
210,0.6566945244701122,-10,297
211,1.0998771338524642,-8,850
212,0.6850070343627993,-9,585
213,0.8706486305988859,-6,973
214,0.44145506746452556,-4,401
215,0.7357390673764578,2,255
216,0.9505682166323067,3,129
217,0.42062784658379315,9,117
218,0.15261534879942465,4,952
219,0.30002804158479135,4,90
220,0.8681751484234487,0,726
221,0.5101197699464882,-5,241
222,0.8218535871431094,4,544
223,1.0239006009669234,-6,878
224,0.5365551209147523,3,154
225,1.0347567915129434,0,661
226,0.34967182270536057,-8,469
227,0.11712169061734948,8,307
228,0.2638171808505585,7,669
229,0.27499864996050827,-2,813
230,0.8873169651641531,1,332
231,0.4542033912701017,-3,735
232,0.6812887972882364,0,163
233,0.3462239046009935,7,108
234,0.6873980624602324,-10,542
235,0.45504989804362617,3,106
236,0.7663043980261098,-6,468
237,0.48136528629462716,8,951
238,0.6395402981769758,-5,779
239,0.8353660495226797,-10,782
240,0.5951968280352602,-9,894
241,0.17169883215633167,-6,774
242,0.2784400311418339,-8,746
243,0.3278237738710513,6,398
244,0.22442883746510137,0,263
245,0.14494244075289767,-9,558
246,0.8105403785930465,-5,455
247,0.5421737539286751,4,6
248,0.8718039246904544,7,861
249,0.43631590700525014,-1,183
250,1.0786761898172252,-10,278
251,0.32847607904885,3,774
252,0.20808575118585895,-6,306
253,0.8564159338449684,1,257
254,0.5622128549508133,3,206
255,0.19682707611501385,1,989
256,0.514181757114201,-3,722
257,0.4382744857555636,-4,81
258,0.6139157078231124,-9,400
259,1.0318991270998734,0,397
260,0.5004120493749018,7,222
261,0.29197809595300717,1,518
262,0.2807056743572992,-2,195
263,0.18585791385820397,4,488
264,0.6972990180019103,-9,907
265,0.7820566604407139,2,192
266,0.6047368413817636,-9,864
267,0.4062726678983323,5,702
268,0.24667071193404103,5,338
269,0.7175299907323115,-5,850
270,0.3108301580364591,0,221
271,0.36072253931828946,-6,679
272,0.7419401027495777,-1,424
273,0.7886516007016693,6,993
274,1.0284800456483516,0,325
275,0.116264884002281,9,687
276,0.9827405678561828,-2,560
277,0.23754777121323015,9,173
278,1.040532718952711,4,350
279,1.0950693445654525,5,859
280,0.5488433916548834,-8,475
281,0.7624372294833697,-4,302
282,0.6890222351566748,5,203
283,0.560828123502733,3,967
284,1.0913553903657718,4,442
285,0.8544003459366899,-10,292
286,0.9674327722941165,2,820
287,0.5694343432738448,-2,744
288,0.595588978640349,2,950
289,0.16859124443673515,5,727
290,0.8641390948121378,-7,857
291,0.6411979967267689,-3,189
292,0.9674890990332922,1,826
293,0.47620717671313006,0,61
294,1.0259121419024633,6,24
295,0.5142832426823422,-1,202
296,0.6690296733618808,4,815
297,0.44063579025122646,-5,749
298,0.48585356485567655,-9,208
299,0.7724374633463491,5,613
